filename,binary_name,primary_path,categories,mitre_ids,risk,description
pidstat,pidstat,/usr/bin/pidstat,shell,T1059,medium,GTFOBins: pidstat can be used for shell
pip,pip,/usr/bin/pip,inherit|shell,T1059,medium,GTFOBins: pip can be used for inherit; shell
pipx,pipx,/usr/bin/pipx,inherit,T1059,medium,GTFOBins: pipx can be used for inherit
pkexec,pkexec,/usr/bin/pkexec,shell,T1059,medium,GTFOBins: pkexec can be used for shell
pkg,pkg,/usr/bin/pkg,command,T1059,medium,GTFOBins: pkg can be used for command
plymouth,plymouth,/usr/bin/plymouth,shell,T1059,medium,GTFOBins: plymouth can be used for shell
podman,podman,/usr/bin/podman,shell,T1059,medium,GTFOBins: podman can be used for shell
poetry,poetry,/usr/bin/poetry,inherit,T1059,medium,GTFOBins: poetry can be used for inherit
posh,posh,/usr/bin/posh,shell,T1059,medium,GTFOBins: posh can be used for shell
pr,pr,/usr/bin/pr,file-read,T1005,low,GTFOBins: pr can be used for file-read
procmail,procmail,/usr/bin/procmail,command,T1059,medium,GTFOBins: procmail can be used for command
pry,pry,/usr/bin/pry,inherit,T1059,medium,GTFOBins: pry can be used for inherit
psftp,psftp,/usr/bin/psftp,shell,T1059,medium,GTFOBins: psftp can be used for shell
psql,psql,/usr/bin/psql,inherit|shell,T1059,medium,GTFOBins: psql can be used for inherit; shell
ptx,ptx,/usr/bin/ptx,file-read,T1005,low,GTFOBins: ptx can be used for file-read
puppet,puppet,/usr/bin/puppet,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: puppet can be used for file-read; file-write; shell
pwsh,pwsh,/usr/bin/pwsh,file-write|shell,T1059|T1565.001,medium,GTFOBins: pwsh can be used for file-write; shell
pygmentize,pygmentize,/usr/bin/pygmentize,file-read,T1005,low,GTFOBins: pygmentize can be used for file-read
pyright,pyright,/usr/bin/pyright,file-read,T1005,low,GTFOBins: pyright can be used for file-read
python,python,/usr/bin/python,download|file-read|file-write|library-load|reverse-shell|shell|upload,T1005|T1048|T1059|T1105|T1565.001|T1574.006,high,GTFOBins: python can be used for download; file-read; file-write; library-load; reverse-shell; shell; upload
qpdf,qpdf,/usr/bin/qpdf,file-read,T1005,low,GTFOBins: qpdf can be used for file-read
r,R,/usr/bin/R,shell,T1059,medium,GTFOBins: R can be used for shell
rake,rake,/usr/bin/rake,file-read|inherit,T1005|T1059,medium,GTFOBins: rake can be used for file-read; inherit
ranger,ranger,/usr/bin/ranger,shell,T1059,medium,GTFOBins: ranger can be used for shell
rc,rc,/usr/bin/rc,shell,T1059,medium,GTFOBins: rc can be used for shell
