filename,binary_name,primary_path,categories,mitre_ids,risk,description
aptitude,aptitude,/usr/bin/aptitude,inherit,T1059,medium,GTFOBins: aptitude can be used for inherit
ar,ar,/usr/bin/ar,file-read,T1005,low,GTFOBins: ar can be used for file-read
arch-nspawn,arch-nspawn,/usr/bin/arch-nspawn,shell,T1059,medium,GTFOBins: arch-nspawn can be used for shell
aria2c,aria2c,/usr/bin/aria2c,command|download|file-read,T1005|T1059|T1105,medium,GTFOBins: aria2c can be used for command; download; file-read
arj,arj,/usr/bin/arj,file-read|file-write,T1005|T1565.001,medium,GTFOBins: arj can be used for file-read; file-write
arp,arp,/usr/bin/arp,file-read,T1005,low,GTFOBins: arp can be used for file-read
as,as,/usr/bin/as,file-read,T1005,low,GTFOBins: as can be used for file-read
ascii-xfr,ascii-xfr,/usr/bin/ascii-xfr,file-read,T1005,low,GTFOBins: ascii-xfr can be used for file-read
ascii85,ascii85,/usr/bin/ascii85,file-read,T1005,low,GTFOBins: ascii85 can be used for file-read
ash,ash,/usr/bin/ash,file-write|shell,T1059|T1565.001,medium,GTFOBins: ash can be used for file-write; shell
aspell,aspell,/usr/bin/aspell,file-read,T1005,low,GTFOBins: aspell can be used for file-read
asterisk,asterisk,/usr/bin/asterisk,shell,T1059,medium,GTFOBins: asterisk can be used for shell
at,at,/usr/bin/at,command|shell,T1059,medium,GTFOBins: at can be used for command; shell
atobm,atobm,/usr/bin/atobm,file-read,T1005,low,GTFOBins: atobm can be used for file-read
autoconf,autoconf,/usr/bin/autoconf,shell,T1059,medium,GTFOBins: autoconf can be used for shell
autoheader,autoheader,/usr/bin/autoheader,shell,T1059,medium,GTFOBins: autoheader can be used for shell
autoreconf,autoreconf,/usr/bin/autoreconf,shell,T1059,medium,GTFOBins: autoreconf can be used for shell
awk,awk,/usr/bin/awk,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: awk can be used for file-read; file-write; shell
aws,aws,/usr/bin/aws,file-read|inherit,T1005|T1059,medium,GTFOBins: aws can be used for file-read; inherit
base32,base32,/usr/bin/base32,file-read,T1005,low,GTFOBins: base32 can be used for file-read
base58,base58,/usr/bin/base58,file-read,T1005,low,GTFOBins: base58 can be used for file-read
base64,base64,/usr/bin/base64,file-read,T1005,low,GTFOBins: base64 can be used for file-read
basenc,basenc,/usr/bin/basenc,file-read,T1005,low,GTFOBins: basenc can be used for file-read
basez,basez,/usr/bin/basez,file-read,T1005,low,GTFOBins: basez can be used for file-read
bash,bash,/usr/bin/bash,download|file-read|file-write|library-load|reverse-shell|shell|upload,T1005|T1048|T1059|T1105|T1565.001|T1574.006,high,GTFOBins: bash can be used for download; file-read; file-write; library-load; reverse-shell; shell; upload
bashbug,bashbug,/usr/bin/bashbug,inherit,T1059,medium,GTFOBins: bashbug can be used for inherit
batcat,batcat,/usr/bin/batcat,inherit,T1059,medium,GTFOBins: batcat can be used for inherit
bbot,bbot,/usr/bin/bbot,file-read,T1005,low,GTFOBins: bbot can be used for file-read
bc,bc,/usr/bin/bc,file-read,T1005,low,GTFOBins: bc can be used for file-read
bconsole,bconsole,/usr/bin/bconsole,file-read|shell,T1005|T1059,medium,GTFOBins: bconsole can be used for file-read; shell
bee,bee,/usr/bin/bee,inherit,T1059,medium,GTFOBins: bee can be used for inherit
borg,borg,/usr/bin/borg,shell,T1059,medium,GTFOBins: borg can be used for shell
bpftrace,bpftrace,/usr/bin/bpftrace,shell,T1059,medium,GTFOBins: bpftrace can be used for shell
bridge,bridge,/usr/bin/bridge,file-read,T1005,low,GTFOBins: bridge can be used for file-read
bundle,bundle,/usr/bin/bundle,inherit|shell,T1059,medium,GTFOBins: bundle can be used for inherit; shell
bundler,bundler,/usr/bin/bundler,inherit|shell,T1059,medium,GTFOBins: bundler can be used for inherit; shell
busctl,busctl,/usr/bin/busctl,inherit|shell,T1059,medium,GTFOBins: busctl can be used for inherit; shell
busybox,busybox,/usr/bin/busybox,inherit|reverse-shell|upload,T1048|T1059,high,GTFOBins: busybox can be used for inherit; reverse-shell; upload
byebug,byebug,/usr/bin/byebug,inherit,T1059,medium,GTFOBins: byebug can be used for inherit
bzip2,bzip2,/usr/bin/bzip2,file-read,T1005,low,GTFOBins: bzip2 can be used for file-read
c89,c89,/usr/bin/c89,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: c89 can be used for file-read; file-write; shell
c99,c99,/usr/bin/c99,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: c99 can be used for file-read; file-write; shell
cabal,cabal,/usr/bin/cabal,shell,T1059,medium,GTFOBins: cabal can be used for shell
cancel,cancel,/usr/bin/cancel,upload,T1048,medium,GTFOBins: cancel can be used for upload
capsh,capsh,/usr/bin/capsh,shell,T1059,medium,GTFOBins: capsh can be used for shell
cargo,cargo,/usr/bin/cargo,inherit,T1059,medium,GTFOBins: cargo can be used for inherit
cat,cat,/usr/bin/cat,file-read,T1005,low,GTFOBins: cat can be used for file-read
cc,cc,/usr/bin/cc,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: cc can be used for file-read; file-write; shell
cdist,cdist,/usr/bin/cdist,shell,T1059,medium,GTFOBins: cdist can be used for shell
certbot,certbot,/usr/bin/certbot,shell,T1059,medium,GTFOBins: certbot can be used for shell
chattr,chattr,/usr/bin/chattr,privilege-escalation,T1548,high,GTFOBins: chattr can be used for privilege-escalation
check_by_ssh,check_by_ssh,/usr/bin/check_by_ssh,shell,T1059,medium,GTFOBins: check_by_ssh can be used for shell
check_cups,check_cups,/usr/bin/check_cups,file-read,T1005,low,GTFOBins: check_cups can be used for file-read
check_log,check_log,/usr/bin/check_log,file-read|file-write,T1005|T1565.001,medium,GTFOBins: check_log can be used for file-read; file-write
check_memory,check_memory,/usr/bin/check_memory,file-read,T1005,low,GTFOBins: check_memory can be used for file-read
check_raid,check_raid,/usr/bin/check_raid,file-read,T1005,low,GTFOBins: check_raid can be used for file-read
check_ssl_cert,check_ssl_cert,/usr/bin/check_ssl_cert,shell,T1059,medium,GTFOBins: check_ssl_cert can be used for shell
check_statusfile,check_statusfile,/usr/bin/check_statusfile,file-read,T1005,low,GTFOBins: check_statusfile can be used for file-read
chmod,chmod,/usr/bin/chmod,privilege-escalation,T1548,high,GTFOBins: chmod can be used for privilege-escalation
choom,choom,/usr/bin/choom,shell,T1059,medium,GTFOBins: choom can be used for shell
chown,chown,/usr/bin/chown,privilege-escalation,T1548,high,GTFOBins: chown can be used for privilege-escalation
chroot,chroot,/usr/bin/chroot,shell,T1059,medium,GTFOBins: chroot can be used for shell
chrt,chrt,/usr/bin/chrt,shell,T1059,medium,GTFOBins: chrt can be used for shell
clamscan,clamscan,/usr/bin/clamscan,file-read,T1005,low,GTFOBins: clamscan can be used for file-read
clisp,clisp,/usr/bin/clisp,shell,T1059,medium,GTFOBins: clisp can be used for shell
cmake,cmake,/usr/bin/cmake,file-read|shell,T1005|T1059,medium,GTFOBins: cmake can be used for file-read; shell
cmp,cmp,/usr/bin/cmp,file-read,T1005,low,GTFOBins: cmp can be used for file-read
cobc,cobc,/usr/bin/cobc,shell,T1059,medium,GTFOBins: cobc can be used for shell
code,code,/usr/bin/code,download|reverse-shell|upload,T1048|T1059|T1105,high,GTFOBins: code can be used for download; reverse-shell; upload
codex,codex,/usr/bin/codex,shell,T1059,medium,GTFOBins: codex can be used for shell
column,column,/usr/bin/column,file-read,T1005,low,GTFOBins: column can be used for file-read
comm,comm,/usr/bin/comm,file-read,T1005,low,GTFOBins: comm can be used for file-read
composer,composer,/usr/bin/composer,shell,T1059,medium,GTFOBins: composer can be used for shell
cowsay,cowsay,/usr/bin/cowsay,inherit,T1059,medium,GTFOBins: cowsay can be used for inherit
cowthink,cowthink,/usr/bin/cowthink,inherit,T1059,medium,GTFOBins: cowthink can be used for inherit
cp,cp,/usr/bin/cp,file-read|file-write|privilege-escalation,T1005|T1548|T1565.001,high,GTFOBins: cp can be used for file-read; file-write; privilege-escalation
cpan,cpan,/usr/bin/cpan,inherit,T1059,medium,GTFOBins: cpan can be used for inherit
cpio,cpio,/usr/bin/cpio,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: cpio can be used for file-read; file-write; shell
cpulimit,cpulimit,/usr/bin/cpulimit,shell,T1059,medium,GTFOBins: cpulimit can be used for shell
crash,crash,/usr/bin/crash,command|inherit,T1059,medium,GTFOBins: crash can be used for command; inherit
crontab,crontab,/usr/bin/crontab,command|inherit,T1059,medium,GTFOBins: crontab can be used for command; inherit
csh,csh,/usr/bin/csh,file-write|shell,T1059|T1565.001,medium,GTFOBins: csh can be used for file-write; shell
csplit,csplit,/usr/bin/csplit,file-read|file-write,T1005|T1565.001,medium,GTFOBins: csplit can be used for file-read; file-write
csvtool,csvtool,/usr/bin/csvtool,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: csvtool can be used for file-read; file-write; shell
ctr,ctr,/usr/bin/ctr,shell,T1059,medium,GTFOBins: ctr can be used for shell
cupsfilter,cupsfilter,/usr/bin/cupsfilter,file-read,T1005,low,GTFOBins: cupsfilter can be used for file-read
curl,curl,/usr/bin/curl,download|file-read|file-write|library-load|upload,T1005|T1048|T1105|T1565.001|T1574.006,high,GTFOBins: curl can be used for download; file-read; file-write; library-load; upload
cut,cut,/usr/bin/cut,file-read,T1005,low,GTFOBins: cut can be used for file-read
dash,dash,/usr/bin/dash,file-write|shell,T1059|T1565.001,medium,GTFOBins: dash can be used for file-write; shell
date,date,/usr/bin/date,file-read,T1005,low,GTFOBins: date can be used for file-read
dc,dc,/usr/bin/dc,shell,T1059,medium,GTFOBins: dc can be used for shell
dd,dd,/usr/bin/dd,file-read|file-write,T1005|T1565.001,medium,GTFOBins: dd can be used for file-read; file-write
debugfs,debugfs,/usr/bin/debugfs,shell,T1059,medium,GTFOBins: debugfs can be used for shell
dhclient,dhclient,/usr/bin/dhclient,shell,T1059,medium,GTFOBins: dhclient can be used for shell
dialog,dialog,/usr/bin/dialog,file-read,T1005,low,GTFOBins: dialog can be used for file-read
diff,diff,/usr/bin/diff,file-read,T1005,low,GTFOBins: diff can be used for file-read
dig,dig,/usr/bin/dig,file-read,T1005,low,GTFOBins: dig can be used for file-read
distcc,distcc,/usr/bin/distcc,shell,T1059,medium,GTFOBins: distcc can be used for shell
dmesg,dmesg,/usr/bin/dmesg,file-read|inherit,T1005|T1059,medium,GTFOBins: dmesg can be used for file-read; inherit
dmidecode,dmidecode,/usr/bin/dmidecode,file-write,T1565.001,medium,GTFOBins: dmidecode can be used for file-write
dmsetup,dmsetup,/usr/bin/dmsetup,shell,T1059,medium,GTFOBins: dmsetup can be used for shell
dnf,dnf,/usr/bin/dnf,command,T1059,medium,GTFOBins: dnf can be used for command
dnsmasq,dnsmasq,/usr/bin/dnsmasq,command,T1059,medium,GTFOBins: dnsmasq can be used for command
doas,doas,/usr/bin/doas,shell,T1059,medium,GTFOBins: doas can be used for shell
docker,docker,/usr/bin/docker,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: docker can be used for file-read; file-write; shell
dos2unix,dos2unix,/usr/bin/dos2unix,file-read|file-write,T1005|T1565.001,medium,GTFOBins: dos2unix can be used for file-read; file-write
dosbox,dosbox,/usr/bin/dosbox,file-read|file-write,T1005|T1565.001,medium,GTFOBins: dosbox can be used for file-read; file-write
dotnet,dotnet,/usr/bin/dotnet,file-read|shell,T1005|T1059,medium,GTFOBins: dotnet can be used for file-read; shell
dpkg,dpkg,/usr/bin/dpkg,inherit|shell,T1059,medium,GTFOBins: dpkg can be used for inherit; shell
dstat,dstat,/usr/bin/dstat,inherit,T1059,medium,GTFOBins: dstat can be used for inherit
dvips,dvips,/usr/bin/dvips,shell,T1059,medium,GTFOBins: dvips can be used for shell
easy_install,easy_install,/usr/bin/easy_install,inherit,T1059,medium,GTFOBins: easy_install can be used for inherit
easyrsa,easyrsa,/usr/bin/easyrsa,shell,T1059,medium,GTFOBins: easyrsa can be used for shell
eb,eb,/usr/bin/eb,inherit,T1059,medium,GTFOBins: eb can be used for inherit
ed,ed,/usr/bin/ed,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: ed can be used for file-read; file-write; shell
efax,efax,/usr/bin/efax,file-read,T1005,low,GTFOBins: efax can be used for file-read
egrep,egrep,/usr/bin/egrep,file-read,T1005,low,GTFOBins: egrep can be used for file-read
elvish,elvish,/usr/bin/elvish,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: elvish can be used for file-read; file-write; shell
emacs,emacs,/usr/bin/emacs,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: emacs can be used for file-read; file-write; shell
enscript,enscript,/usr/bin/enscript,shell,T1059,medium,GTFOBins: enscript can be used for shell
env,env,/usr/bin/env,shell,T1059,medium,GTFOBins: env can be used for shell
eqn,eqn,/usr/bin/eqn,file-read,T1005,low,GTFOBins: eqn can be used for file-read
espeak,espeak,/usr/bin/espeak,file-read,T1005,low,GTFOBins: espeak can be used for file-read
ex,ex,/usr/bin/ex,inherit|shell,T1059,medium,GTFOBins: ex can be used for inherit; shell
exiftool,exiftool,/usr/bin/exiftool,file-read|file-write|inherit,T1005|T1059|T1565.001,medium,GTFOBins: exiftool can be used for file-read; file-write; inherit
expand,expand,/usr/bin/expand,file-read,T1005,low,GTFOBins: expand can be used for file-read
expect,expect,/usr/bin/expect,file-read|shell,T1005|T1059,medium,GTFOBins: expect can be used for file-read; shell
facter,facter,/usr/bin/facter,inherit,T1059,medium,GTFOBins: facter can be used for inherit
fail2ban-client,fail2ban-client,/usr/bin/fail2ban-client,command,T1059,medium,GTFOBins: fail2ban-client can be used for command
fastfetch,fastfetch,/usr/bin/fastfetch,command|file-read|shell,T1005|T1059,medium,GTFOBins: fastfetch can be used for command; file-read; shell
ffmpeg,ffmpeg,/usr/bin/ffmpeg,library-load,T1574.006,high,GTFOBins: ffmpeg can be used for library-load
fgrep,fgrep,/usr/bin/fgrep,file-read,T1005,low,GTFOBins: fgrep can be used for file-read
file,file,/usr/bin/file,file-read,T1005,low,GTFOBins: file can be used for file-read
find,find,/usr/bin/find,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: find can be used for file-read; file-write; shell
finger,finger,/usr/bin/finger,download|upload,T1048|T1105,medium,GTFOBins: finger can be used for download; upload
firejail,firejail,/usr/bin/firejail,shell,T1059,medium,GTFOBins: firejail can be used for shell
fish,fish,/usr/bin/fish,shell,T1059,medium,GTFOBins: fish can be used for shell
flock,flock,/usr/bin/flock,shell,T1059,medium,GTFOBins: flock can be used for shell
fmt,fmt,/usr/bin/fmt,file-read,T1005,low,GTFOBins: fmt can be used for file-read
fold,fold,/usr/bin/fold,file-read,T1005,low,GTFOBins: fold can be used for file-read
forge,forge,/usr/bin/forge,shell,T1059,medium,GTFOBins: forge can be used for shell
fping,fping,/usr/bin/fping,file-read,T1005,low,GTFOBins: fping can be used for file-read
ftp,ftp,/usr/bin/ftp,download|shell|upload,T1048|T1059|T1105,medium,GTFOBins: ftp can be used for download; shell; upload
fzf,fzf,/usr/bin/fzf,command|shell,T1059,medium,GTFOBins: fzf can be used for command; shell
g++,g++,/usr/bin/g++,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: g++ can be used for file-read; file-write; shell
gawk,gawk,/usr/bin/gawk,bind-shell|file-read|file-write|reverse-shell|shell,T1005|T1059|T1565.001,high,GTFOBins: gawk can be used for bind-shell; file-read; file-write; reverse-shell; shell
gcc,gcc,/usr/bin/gcc,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: gcc can be used for file-read; file-write; shell
gcloud,gcloud,/usr/bin/gcloud,inherit,T1059,medium,GTFOBins: gcloud can be used for inherit
gcore,gcore,/usr/bin/gcore,file-read,T1005,low,GTFOBins: gcore can be used for file-read
gdb,gdb,/usr/bin/gdb,file-write|inherit|shell,T1059|T1565.001,medium,GTFOBins: gdb can be used for file-write; inherit; shell
gem,gem,/usr/bin/gem,inherit|shell,T1059,medium,GTFOBins: gem can be used for inherit; shell
genie,genie,/usr/bin/genie,shell,T1059,medium,GTFOBins: genie can be used for shell
genisoimage,genisoimage,/usr/bin/genisoimage,file-read,T1005,low,GTFOBins: genisoimage can be used for file-read
getent,getent,/usr/bin/getent,privilege-escalation,T1548,high,GTFOBins: getent can be used for privilege-escalation
ghc,ghc,/usr/bin/ghc,shell,T1059,medium,GTFOBins: ghc can be used for shell
ghci,ghci,/usr/bin/ghci,shell,T1059,medium,GTFOBins: ghci can be used for shell
gimp,gimp,/usr/bin/gimp,inherit,T1059,medium,GTFOBins: gimp can be used for inherit
ginsh,ginsh,/usr/bin/ginsh,shell,T1059,medium,GTFOBins: ginsh can be used for shell
git,git,/usr/bin/git,file-read|file-write|inherit|shell,T1005|T1059|T1565.001,medium,GTFOBins: git can be used for file-read; file-write; inherit; shell
gnuplot,gnuplot,/usr/bin/gnuplot,shell,T1059,medium,GTFOBins: gnuplot can be used for shell
go,go,/usr/bin/go,bind-shell|file-read|file-write|reverse-shell|shell,T1005|T1059|T1565.001,high,GTFOBins: go can be used for bind-shell; file-read; file-write; reverse-shell; shell
grc,grc,/usr/bin/grc,shell,T1059,medium,GTFOBins: grc can be used for shell
grep,grep,/usr/bin/grep,file-read,T1005,low,GTFOBins: grep can be used for file-read
gtester,gtester,/usr/bin/gtester,file-write|shell,T1059|T1565.001,medium,GTFOBins: gtester can be used for file-write; shell
guile,guile,/usr/bin/guile,shell,T1059,medium,GTFOBins: guile can be used for shell
gzip,gzip,/usr/bin/gzip,file-read,T1005,low,GTFOBins: gzip can be used for file-read
hashcat,hashcat,/usr/bin/hashcat,file-write,T1565.001,medium,GTFOBins: hashcat can be used for file-write
hd,hd,/usr/bin/hd,file-read,T1005,low,GTFOBins: hd can be used for file-read
head,head,/usr/bin/head,file-read,T1005,low,GTFOBins: head can be used for file-read
hexdump,hexdump,/usr/bin/hexdump,file-read,T1005,low,GTFOBins: hexdump can be used for file-read
hg,hg,/usr/bin/hg,shell,T1059,medium,GTFOBins: hg can be used for shell
highlight,highlight,/usr/bin/highlight,file-read,T1005,low,GTFOBins: highlight can be used for file-read
hping3,hping3,/usr/bin/hping3,shell|upload,T1048|T1059,medium,GTFOBins: hping3 can be used for shell; upload
iconv,iconv,/usr/bin/iconv,file-read|file-write,T1005|T1565.001,medium,GTFOBins: iconv can be used for file-read; file-write
iftop,iftop,/usr/bin/iftop,shell,T1059,medium,GTFOBins: iftop can be used for shell
install,install,/usr/bin/install,privilege-escalation,T1548,high,GTFOBins: install can be used for privilege-escalation
ionice,ionice,/usr/bin/ionice,shell,T1059,medium,GTFOBins: ionice can be used for shell
ip,ip,/usr/bin/ip,file-read|shell,T1005|T1059,medium,GTFOBins: ip can be used for file-read; shell
iptables-save,iptables-save,/usr/bin/iptables-save,file-write,T1565.001,medium,GTFOBins: iptables-save can be used for file-write
irb,irb,/usr/bin/irb,inherit,T1059,medium,GTFOBins: irb can be used for inherit
ispell,ispell,/usr/bin/ispell,shell,T1059,medium,GTFOBins: ispell can be used for shell
java,java,/usr/bin/java,shell,T1059,medium,GTFOBins: java can be used for shell
jjs,jjs,/usr/bin/jjs,download|file-read|file-write|reverse-shell|shell,T1005|T1059|T1105|T1565.001,high,GTFOBins: jjs can be used for download; file-read; file-write; reverse-shell; shell
joe,joe,/usr/bin/joe,shell,T1059,medium,GTFOBins: joe can be used for shell
join,join,/usr/bin/join,file-read,T1005,low,GTFOBins: join can be used for file-read
journalctl,journalctl,/usr/bin/journalctl,inherit,T1059,medium,GTFOBins: journalctl can be used for inherit
jq,jq,/usr/bin/jq,file-read,T1005,low,GTFOBins: jq can be used for file-read
jrunscript,jrunscript,/usr/bin/jrunscript,download|file-read|file-write|reverse-shell|shell,T1005|T1059|T1105|T1565.001,high,GTFOBins: jrunscript can be used for download; file-read; file-write; reverse-shell; shell
jshell,jshell,/usr/bin/jshell,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: jshell can be used for file-read; file-write; shell
jtag,jtag,/usr/bin/jtag,shell,T1059,medium,GTFOBins: jtag can be used for shell
julia,julia,/usr/bin/julia,download|file-read|file-write|reverse-shell|shell,T1005|T1059|T1105|T1565.001,high,GTFOBins: julia can be used for download; file-read; file-write; reverse-shell; shell
knife,knife,/usr/bin/knife,inherit,T1059,medium,GTFOBins: knife can be used for inherit
ksh,ksh,/usr/bin/ksh,download|file-read|file-write|library-load|reverse-shell|shell|upload,T1005|T1048|T1059|T1105|T1565.001|T1574.006,high,GTFOBins: ksh can be used for download; file-read; file-write; library-load; reverse-shell; shell; upload
ksshell,ksshell,/usr/bin/ksshell,file-read,T1005,low,GTFOBins: ksshell can be used for file-read
ksu,ksu,/usr/bin/ksu,shell,T1059,medium,GTFOBins: ksu can be used for shell
kubectl,kubectl,/usr/bin/kubectl,shell|upload,T1048|T1059,medium,GTFOBins: kubectl can be used for shell; upload
last,last,/usr/bin/last,file-read,T1005,low,GTFOBins: last can be used for file-read
lastb,lastb,/usr/bin/lastb,file-read,T1005,low,GTFOBins: lastb can be used for file-read
latex,latex,/usr/bin/latex,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: latex can be used for file-read; file-write; shell
latexmk,latexmk,/usr/bin/latexmk,file-read|inherit|shell,T1005|T1059,medium,GTFOBins: latexmk can be used for file-read; inherit; shell
ld.so,ld.so,/usr/bin/ld.so,shell,T1059,medium,GTFOBins: ld.so can be used for shell
ldconfig,ldconfig,/usr/bin/ldconfig,library-load,T1574.006,high,GTFOBins: ldconfig can be used for library-load
less,less,/usr/bin/less,command|file-read|file-write|inherit|shell,T1005|T1059|T1565.001,medium,GTFOBins: less can be used for command; file-read; file-write; inherit; shell
lftp,lftp,/usr/bin/lftp,shell,T1059,medium,GTFOBins: lftp can be used for shell
links,links,/usr/bin/links,file-read,T1005,low,GTFOBins: links can be used for file-read
ln,ln,/usr/bin/ln,privilege-escalation,T1548,high,GTFOBins: ln can be used for privilege-escalation
loginctl,loginctl,/usr/bin/loginctl,shell,T1059,medium,GTFOBins: loginctl can be used for shell
logrotate,logrotate,/usr/bin/logrotate,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: logrotate can be used for file-read; file-write; shell
logsave,logsave,/usr/bin/logsave,shell,T1059,medium,GTFOBins: logsave can be used for shell
look,look,/usr/bin/look,file-read,T1005,low,GTFOBins: look can be used for file-read
lp,lp,/usr/bin/lp,upload,T1048,medium,GTFOBins: lp can be used for upload
ltrace,ltrace,/usr/bin/ltrace,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: ltrace can be used for file-read; file-write; shell
lua,lua,/usr/bin/lua,bind-shell|download|file-read|file-write|reverse-shell|shell|upload,T1005|T1048|T1059|T1105|T1565.001,high,GTFOBins: lua can be used for bind-shell; download; file-read; file-write; reverse-shell; shell; upload
lualatex,lualatex,/usr/bin/lualatex,inherit,T1059,medium,GTFOBins: lualatex can be used for inherit
luatex,luatex,/usr/bin/luatex,inherit,T1059,medium,GTFOBins: luatex can be used for inherit
lwp-download,lwp-download,/usr/bin/lwp-download,download|file-read|file-write,T1005|T1105|T1565.001,medium,GTFOBins: lwp-download can be used for download; file-read; file-write
lwp-request,lwp-request,/usr/bin/lwp-request,file-read,T1005,low,GTFOBins: lwp-request can be used for file-read
lxd,lxd,/usr/bin/lxd,shell,T1059,medium,GTFOBins: lxd can be used for shell
m4,m4,/usr/bin/m4,command|file-read|shell,T1005|T1059,medium,GTFOBins: m4 can be used for command; file-read; shell
mail,mail,/usr/bin/mail,shell,T1059,medium,GTFOBins: mail can be used for shell
make,make,/usr/bin/make,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: make can be used for file-read; file-write; shell
man,man,/usr/bin/man,file-read|inherit|shell,T1005|T1059,medium,GTFOBins: man can be used for file-read; inherit; shell
mawk,mawk,/usr/bin/mawk,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: mawk can be used for file-read; file-write; shell
minicom,minicom,/usr/bin/minicom,shell,T1059,medium,GTFOBins: minicom can be used for shell
more,more,/usr/bin/more,file-read|shell,T1005|T1059,medium,GTFOBins: more can be used for file-read; shell
mosh-server,mosh-server,/usr/bin/mosh-server,shell,T1059,medium,GTFOBins: mosh-server can be used for shell
mosquitto,mosquitto,/usr/bin/mosquitto,file-read,T1005,low,GTFOBins: mosquitto can be used for file-read
mount,mount,/usr/bin/mount,privilege-escalation,T1548,high,GTFOBins: mount can be used for privilege-escalation
msfconsole,msfconsole,/usr/bin/msfconsole,inherit,T1059,medium,GTFOBins: msfconsole can be used for inherit
msgattrib,msgattrib,/usr/bin/msgattrib,file-read,T1005,low,GTFOBins: msgattrib can be used for file-read
